title,body,tags,score,tags_transformed,title_lemmatized,body_lemmatized
"Where does the T, U, V convention for generic type params come from?","Java, C#, and TypeScript (aka. the Sun/Hejlsberg family of languages) use T, U, V, etc. to represent generic type parameters. Ostensibly that's because T stands for ""Type"", and U and V follow T in the alphabet.
On the other hand, Scala uses A, B, C and so on, and OCaml and Haskell use a, b, and c.
Where do these conventions come from? Is it because the functional languages are closer to math proofs, where α, β, and γ are used by convention?

Similar, but doesn't answer my question: Where does the C# generics naming convention come from?.
",<java><c#><scala><generics><programming-languages>,7,"java,c#,scala,generics,programming-languages",['where does the t u v convention for generic type params come from'],"['java c and typescript aka', 'the sunhejlsberg family of languages use t u v etc', 'to represent generic type parameters', 'ostensibly thats because t stands for type and u and v follow t in the alphabet', 'on the other hand scala uses a b c and so on and ocaml and haskell use a b and c where do these conventions come from', 'is it because the functional languages are closer to math proofs where and are used by convention', 'similar but doesnt answer my question where does the c generics naming convention come from']"
ruby/ruby on rails memory leak detection,"I wrote a small web app using ruby on rails, its main purpose is to upload, store, and display results from xml(files can be up to several MB) files.  After running for about 2 months I noticed that the mongrel process was using about 4GB of memory.  I did some research on debugging ruby memory leaks and could not find much. So I have two questions.

Are there any good tools that can be used to find memory leaks in Ruby/rails?
What type of coding patterns cause memory leaks in ruby?

",<ruby-on-rails><ruby><memory><memory-leaks><coding-style>,46,"ruby-on-rails,ruby,memory,memory-leaks,coding-style",['rubyruby on rails memory leak detection'],"['i wrote a small web app using ruby on rails its main purpose is to upload store and display results from xmlfiles can be up to several mb files', 'after running for about 2 months i noticed that the mongrel process was using about 4gb of memory', 'i did some research on debugging ruby memory leaks and could not find much', 'so i have two questions', 'are there any good tools that can be used to find memory leaks in rubyrails', 'what type of coding patterns cause memory leaks in ruby']"
Showing two different fibonacci functions are equivalent,"I'm trying to learn exactly what it means to prove a program correct. I'm starting from scratch and getting hung up on the first steps/the introduction to the topic.
In this paper on total functional programming, two definitions of the fibonacci function are given. The traditional one:
fib 0 = 0
fib 1 = 1
fib n = fib (n-1) + fib (n-2)
--fib (n+2) = fib (n+1) + fib (n+2) --The definition as given in the paper 
                                    --It seems incorrect to me. Typo?

and a tail recursive version I had never seen before:
fib' n = f n 0 1
f 0 a b = a
f n a b = f (n-1) b (a+b)

The paper then claimed that it is ""straightforward"" to prove by induction that both functions return the same result for all positive Integers n. This is the first time I've thought of analysing programs like this. It's quite interesting to think that you can prove that two programs are equivilent, so I immediately tried to do this proof by induction myself. Either my maths skills are rusty or the task is not actually all that straightforward.
I proved for n = 1
fib' 1 = f 1 0 1
       = f 0 1 1
       = 1
fib 1  = 1 (By definition)
therefore
fib' n = fib n for n = 1

I made the n = k assumption
fib' k  = fib k
f k 0 1 = fib k

I start trying to prove that if the assumption holds true, then the functions are also equivilant for n = k + 1 (and hence they are all equivalent for all n >= 1 QED)
fib' (k+1)  = fib (k+1)
f (k+1) 0 1 = fib k + fib (k-1)

I've tried various manipulations, substituting the assumption in at the right time and so on, but I just can't get LHS to equal RHS and therefore prove that the functions/programs are equivalent. What am I missing? The paper mentions that the task is equivalent to proving
f n (fib p) (fib (p+1)) = fib (p+n)

by induction for arbitrary p. But I don't see how that's true at all. How did the authors arrive at this equation? That's a valid transformation on the equation only if p = 0. I don't see how that means it works for arbitrary p. To prove it for arbitrary p requires you to go through another layer of induction. Surely the correct formula to prove would be
fib' (n+p)  = fib (n+p)
f (n+p) 0 1 = fib (n+p)

So far that hasn't helped either. Can anyone show me how the induction would be done? Or link to a page that shows the proof (I did search, couldn't find anything).
",<haskell><functional-programming><fibonacci><correctness><induction>,16,"haskell,functional-programming,fibonacci,correctness,induction",['showing two different fibonacci functions are equivalent'],"['im trying to learn exactly what it means to prove a program correct', 'im starting from scratch and getting hung up on the first stepsthe introduction to the topic', 'in this paper on total functional programming two definitions of the fibonacci function are given', 'the traditional one fib 0 0 fib 1 1 fib n fib n1 fib n2 fib n2 fib n1 fib n2 the definition as given in the paper it seems incorrect to me', 'typo', 'and a tail recursive version i had never seen before fib n f n 0 1 f 0 a b a f n a b f n1 b ab the paper then claimed that it is straightforward to prove by induction that both functions return the same result for all positive integers n this is the first time ive thought of analysing programs like this', 'its quite interesting to think that you can prove that two programs are equivilent so i immediately tried to do this proof by induction myself', 'either my maths skills are rusty or the task is not actually all that straightforward', 'i proved for n 1 fib 1 f 1 0 1 f 0 1 1 1 fib 1 1 by definition therefore fib n fib n for n 1 i made the n k assumption fib k fib k f k 0 1 fib k i start trying to prove that if the assumption holds true then the functions are also equivilant for n k 1 and hence they are all equivalent for all n 1 qed fib k1 fib k1 f k1 0 1 fib k fib k1 ive tried various manipulations substituting the assumption in at the right time and so on but i just cant get lhs to equal rhs and therefore prove that the functionsprograms are equivalent', 'what am i missing', 'the paper mentions that the task is equivalent to proving f n fib p fib p1 fib pn by induction for arbitrary p but i dont see how thats true at all', 'how did the authors arrive at this equation', 'thats a valid transformation on the equation only if p 0 i dont see how that means it works for arbitrary p to prove it for arbitrary p requires you to go through another layer of induction', 'surely the correct formula to prove would be fib np fib np f np 0 1 fib np so far that hasnt helped either', 'can anyone show me how the induction would be done', 'or link to a page that shows the proof i did search couldnt find anything']"
ActiveRecord appends 'AND (1=0)' to end of queries,"I've been playing around in the rails console trying to get things to work, and I notice that one of my queries keeps returning nil when it shouldn't.  Upon looking at the generated SQL query I notice that it has AND (1=0) appended to it each time.  This is kind of annoying, and I'm not sure why it's doing this.
Note: Using the actable gem.
Steps to reproduce:
(After connecting to tables in rails console)
2.1.2 :xxxx > @parent = Parent.take
Parent Load (38.1ms)  SELECT  `parents`.* FROM `parents`  LIMIT 1
 => #<Parent id: 37, ...>

2.1.2 :xxxx > @child = Child.where(id: @parent.actable_id)
SQL (0.7ms)  SELECT `childs`.`id` AS t0_r0, `childs`.`attribute` AS t0_r1, FROM `childs`
...
LEFT OUTER JOIN `parents` ON `parents`.`actable_id` = `childs`.`id` AND `parents`.`actable_type` = 'child type' WHERE `childs`.`id` = 20 AND (1=0)
 => #<ActiveRecord::Relation []>

Why is this happening? How do I make it stop?
",<mysql><ruby-on-rails><activerecord><ruby-on-rails-4><rails-console>,32,"mysql,ruby-on-rails,activerecord,ruby-on-rails-4,rails-console",['activerecord appends and 10 to end of queries'],"['ive been playing around in the rails console trying to get things to work and i notice that one of my queries keeps returning nil when it shouldnt', 'upon looking at the generated sql query i notice that it has and 10 appended to it each time', 'this is kind of annoying and im not sure why its doing this', 'note using the actable gem', 'steps to reproduce after connecting to tables in rails console 212 xxxx parent parenttake parent load 381ms select parents', ' from parents limit 1 parent id 37 212 xxxx child childwhereid parentactableid sql 07ms select childsid as t0r0 childsattribute as t0r1 from childs left outer join parents on parentsactableid childsid and parentsactabletype child type where childsid 20 and 10 activerecordrelation why is this happening', 'how do i make it stop']"
Dates with no time or timezone component in Java/MySQL,"I need to be able to store a date (year/month/day) with no time component. It's an abstract concept of a date, such as a birthday - I need to represent a date in the year and not a particular instant in time.
I am using Java to parse the date from some input text, and need to store in a MySQL database. No matter what timezone the database, application, or any client is in, they should all see the same year/month/day.
My application will run on a machine with a different system timezone from the database server, and I don't have control over either. Does anyone have an elegant solution for ensuring I store the date correctly?
I can think of these solutions, neither of which seems very nice:

Query my MySQL connection for its timezone and parse the input date in that timezone
Process the date entirely as a string yyyy-MM-dd

",<java><sql><date><timezone><java-time>,9,"java,sql,date,timezone,java-time",['dates with no time or timezone component in javamysql'],"['i need to be able to store a date yearmonthday with no time component', 'its an abstract concept of a date such as a birthday i need to represent a date in the year and not a particular instant in time', 'i am using java to parse the date from some input text and need to store in a mysql database', 'no matter what timezone the database application or any client is in they should all see the same yearmonthday', 'my application will run on a machine with a different system timezone from the database server and i dont have control over either', 'does anyone have an elegant solution for ensuring i store the date correctly', 'i can think of these solutions neither of which seems very nice query my mysql connection for its timezone and parse the input date in that timezone process the date entirely as a string yyyymmdd']"
Using adaboost within R's caret package,"I've been using the ada R package for a while, and more recently, caret. According to the documentation, caret's train() function should have an option that uses ada.  But, caret is puking at me when I use the same syntax that sits within my ada() call.
Here's a demonstration, using the wine sample data set.
library(doSNOW)
registerDoSNOW(makeCluster(2, type = ""SOCK""))
library(caret)
library(ada)

wine = read.csv(""http://www.nd.edu/~mclark19/learn/data/goodwine.csv"")


set.seed(1234) #so that the indices will be the same when re-run
trainIndices = createDataPartition(wine$good, p = 0.8, list = F)
wanted = !colnames(wine) %in% c(""free.sulfur.dioxide"", ""density"", ""quality"",
                            ""color"", ""white"")

wine_train = wine[trainIndices, wanted]
wine_test = wine[-trainIndices, wanted]
cv_opts = trainControl(method=""cv"", number=10)


 ###now, the example that works using ada() 

 results_ada <- ada(good ~ ., data=wine_train, control=rpart.control
 (maxdepth=30, cp=0.010000, minsplit=20, xval=10), iter=500)

##this works, and gives me a confusion matrix.

results_ada
     ada(good ~ ., data = wine_train, control = rpart.control(maxdepth = 30, 
     cp = 0.01, minsplit = 20, xval = 10), iter = 500)
     Loss: exponential Method: discrete   Iteration: 500 
      Final Confusion Matrix for Data:
      Final Prediction
      etc. etc. etc. etc.

##Now, the calls that don't work. 

results_ada = train(good~., data=wine_train, method=""ada"",
control=rpart.control(maxdepth=30, cp=0.010000, minsplit=20, 
xval=10), iter=500)
   Error in train.default(x, y, weights = w, ...) : 
   final tuning parameters could not be determined
   In addition: Warning messages:
   1: In nominalTrainWorkflow(dat = trainData, info = trainInfo, method = method,  :
    There were missing values in resampled performance measures.
   2: In train.default(x, y, weights = w, ...) :
    missing values found in aggregated results

 ###this doesn't work, either

results_ada = train(good~., data=wine_train, method=""ada"", trControl=cv_opts,
maxdepth=10, nu=0.1, iter=50)

  Error in train.default(x, y, weights = w, ...) : 
  final tuning parameters could not be determined
  In addition: Warning messages:
  1: In nominalTrainWorkflow(dat = trainData, info = trainInfo, method = method,  :
    There were missing values in resampled performance measures.
  2: In train.default(x, y, weights = w, ...) :
   missing values found in aggregated results

I'm guessing it's that train() wants additional input, but the warning thrown doesn't give me any hints on what's missing. Additionally, I could be missing a dependency, but there's no hint on what should be there....
",<r><machine-learning><data-mining><classification><adaboost>,12,"r,machine-learning,data-mining,classification,adaboost",['using adaboost within rs caret package'],"['ive been using the ada r package for a while and more recently caret', 'according to the documentation carets train function should have an option that uses ada', 'but caret is puking at me when i use the same syntax that sits within my ada call', 'heres a demonstration using the wine sample data set', 'librarydosnow registerdosnowmakecluster2 type sock librarycaret libraryada wine readcsv setseed1234 so that the indices will be the same when rerun trainindices createdatapartitionwinegood p 08 list f wanted colnameswine in cfreesulfurdioxide density quality color white winetrain winetrainindices wanted winetest winetrainindices wanted cvopts traincontrolmethodcv number10 now the example that works using ada resultsada adagood datawinetrain controlrpartcontrol maxdepth30 cp0010000 minsplit20 xval10 iter500 this works and gives me a confusion matrix', 'resultsada adagood data winetrain control rpartcontrolmaxdepth 30 cp 001 minsplit 20 xval 10 iter 500 loss exponential method discrete iteration 500 final confusion matrix for data final prediction etc', 'etc', 'etc', 'etc', 'now the calls that dont work', 'resultsada traingood datawinetrain methodada controlrpartcontrolmaxdepth30 cp0010000 minsplit20 xval10 iter500 error in traindefaultx y weights w final tuning parameters could not be determined in addition warning messages 1 in nominaltrainworkflowdat traindata info traininfo method method there were missing values in resampled performance measures', '2 in traindefaultx y weights w missing values found in aggregated results this doesnt work either resultsada traingood datawinetrain methodada trcontrolcvopts maxdepth10 nu01 iter50 error in traindefaultx y weights w final tuning parameters could not be determined in addition warning messages 1 in nominaltrainworkflowdat traindata info traininfo method method there were missing values in resampled performance measures', '2 in traindefaultx y weights w missing values found in aggregated results im guessing its that train wants additional input but the warning thrown doesnt give me any hints on whats missing', 'additionally i could be missing a dependency but theres no hint on what should be there']"
How to convert multiple parquet files into TFrecord files using SPARK?,"I would like to produce stratified TFrecord files from a large DataFrame based on a certain condition, for which I use write.partitionBy(). I'm also using the tensorflow-connector in SPARK, but this apparently does not work together with a write.partitionBy() operation. Therefore, I have not found another way than to try to work in two steps:

Repartion the dataframe according to my condition, using partitionBy() and write the resulting partitions to parquet files.
Read those parquet files to convert them into TFrecord files with the tensorflow-connector plugin.

It is the second step that I'm unable to do efficiently. My idea was to read in the individual parquet files on the executors and immediately write them into TFrecord files. But this needs access to the SQLContext which can only be done in the Driver (discussed here) so not in parallel. I would like to do something like this:
# List all parquet files to be converted
import glob, os
files = glob.glob('/path/*.parquet'))

sc = SparkSession.builder.getOrCreate()
sc.parallelize(files, 2).foreach(lambda parquetFile: convert_parquet_to_tfrecord(parquetFile))

Could I construct the function convert_parquet_to_tfrecord that would be able to do this on the executors?
I've also tried just using the wildcard when reading all the parquet files:
SQLContext(sc).read.parquet('/path/*.parquet')

This indeed reads all parquet files, but unfortunately not into individual partitions. It appears that the original structure gets lost, so it doesn't help me if I want the exact contents of the individual parquet files converted into TFrecord files. 
Any other suggestions?
",<apache-spark><pyspark><apache-spark-sql><parquet><tfrecord>,5,"apache-spark,pyspark,apache-spark-sql,parquet,tfrecord",['how to convert multiple parquet files into tfrecord files using spark'],"['i would like to produce stratified tfrecord files from a large dataframe based on a certain condition for which i use writepartitionby', 'im also using the tensorflowconnector in spark but this apparently does not work together with a writepartitionby operation', 'therefore i have not found another way than to try to work in two steps repartion the dataframe according to my condition using partitionby and write the resulting partitions to parquet files', 'read those parquet files to convert them into tfrecord files with the tensorflowconnector plugin', 'it is the second step that im unable to do efficiently', 'my idea was to read in the individual parquet files on the executors and immediately write them into tfrecord files', 'but this needs access to the sqlcontext which can only be done in the driver discussed here so not in parallel', 'i would like to do something like this list all parquet files to be converted import glob os files globglobpathparquet sc sparksessionbuildergetorcreate scparallelizefiles 2foreachlambda parquetfile convertparquettotfrecordparquetfile could i construct the function convertparquettotfrecord that would be able to do this on the executors', 'ive also tried just using the wildcard when reading all the parquet files sqlcontextscreadparquetpathparquet this indeed reads all parquet files but unfortunately not into individual partitions', 'it appears that the original structure gets lost so it doesnt help me if i want the exact contents of the individual parquet files converted into tfrecord files', 'any other suggestions']"
Sax - ExpatParser$ParseException,"I'm making an Android application that reads an XML Internet. This application uses SAX to parse XML. This is my code for the part of parsing:
public LectorSAX(String url){
    try{
        SAXParserFactory spf=SAXParserFactory.newInstance();
        SAXParser sp = spf.newSAXParser();
        DefaultHandler lxmlr=new LibraryXMLReader() ;
        sp.parse(url, lxmlr);

        nodo=((LibraryXMLReader)lxmlr).getNodoActual();

    }catch(ParserConfigurationException e){ 
        System.err.println(""Error de parseo en LectorSAX.java: ""+e);
    }catch(SAXException e){
        System.err.println(""Error de sax LectorSAX.java: "" + e);
    } catch (IOException e){
        System.err.println(""Error de  io LectorSAX.java: "" + e);
    }
}

The problem is that SAXException occurs. The exception message is as follows:

org.apache.harmony.xml.ExpatParser$ParseException: At line 4, column
  42: not well-formed (invalid token)

However, if I put the same code in a normal Java SE application, this exception does not occur and everything works fine.
Why the same code works fine in a Java SE application, not an Android?. On the other hand, How to solve the problem?.
Thanks for the help.
Greetings.
",<java><android><xml-parsing><sax><saxparser>,5,"java,android,xml-parsing,sax,saxparser",['sax expatparserparseexception'],"['im making an android application that reads an xml internet', 'this application uses sax to parse xml', 'this is my code for the part of parsing public lectorsaxstring url try saxparserfactory spfsaxparserfactorynewinstance saxparser sp spfnewsaxparser defaulthandler lxmlrnew libraryxmlreader spparseurl lxmlr nodolibraryxmlreaderlxmlrgetnodoactual catchparserconfigurationexception e systemerrprintlnerror de parseo en lectorsaxjava e catchsaxexception e systemerrprintlnerror de sax lectorsaxjava e catch ioexception e systemerrprintlnerror de io lectorsaxjava e the problem is that saxexception occurs', 'the exception message is as follows orgapacheharmonyxmlexpatparserparseexception at line 4 column 42 not wellformed invalid token however if i put the same code in a normal java se application this exception does not occur and everything works fine', 'why the same code works fine in a java se application not an android', 'on the other hand how to solve the problem', 'thanks for the help', 'greeting']"
How to execute Travis CI 'before_deploy' step only once for multi-deploy configuration?,"In my project I has configured Travis CI build process which releases new versions of artifact to Github releases. My .travis.yml file:
language: java
jdk: oraclejdk8

branches:
  only:
    - master

before_install: mvn package

before_deploy:
  - export TRAVIS_TAG=""1.$TRAVIS_BUILD_NUMBER""
  - echo ""$TRAVIS_TAG"" ""$TRAVIS_COMMIT""
  - git config --local user.name ""$USER_NAME""
  - git config --local user.email ""$USER_EMAIL""
  - git tag ""$TRAVIS_TAG"" ""$TRAVIS_COMMIT""
  
deploy:
  provider: releases
  tag_name: $TRAVIS_TAG
  target_commitish: $TRAVIS_COMMIT
  name: $TRAVIS_TAG
  overwrite: true
  skip_cleanup: true
  api_key: $GITHUB_TOKEN
  file_glob: true
  file:
    - target/my-artifact-$TRAVIS_TAG.jar
  on:
    branch: master

notifications:
  email:
    on_success: never
    on_failure: always

I wanted to add ability to deploy artifact to Heroku and for that I added second item to deploy step, this one:
provider: heroku
api_key: $HEROKU_API_KEY
on:
  branch: master

With these changes the final version of Travis CI config:
language: java
jdk: oraclejdk8

branches:
  only:
    - master

before_install: mvn package

before_deploy:
  - export TRAVIS_TAG=""1.$TRAVIS_BUILD_NUMBER""
  - echo ""$TRAVIS_TAG"" ""$TRAVIS_COMMIT""
  - git config --local user.name ""$USER_NAME""
  - git config --local user.email ""$USER_EMAIL""
  - git tag ""$TRAVIS_TAG"" ""$TRAVIS_COMMIT""
  
deploy:
  - provider: releases
    tag_name: $TRAVIS_TAG
    target_commitish: $TRAVIS_COMMIT
    name: $TRAVIS_TAG
    overwrite: true
    skip_cleanup: true
    api_key: $GITHUB_TOKEN
    file_glob: true
    file:
      - target/my-artifact-$TRAVIS_TAG.jar
    on:
      branch: master
  - provider: heroku
    api_key: $HEROKU_API_KEY
    on:
      branch: master

notifications:
  email:
    on_success: never
    on_failure: always

But builds with such configuration are failing with message

fatal: tag already exists
The command ""git tag ""$TRAVIS_TAG"" ""$TRAVIS_COMMIT"""" failed and exited with 128 during
Your build has been stopped.

As result - I see that new version of artifact was released to Github releases, but deployment to Heroku was failed. I investigated the issue and it looks like Travis CI pipeline try to execute step before_deploy before each deploy, and when it try to execute it for deployment to Heroku it fail due to Git tag with such name was already created in before_deploy step for deploy to Github releases.
How can I fix the issue and configure Travis CI to execute before_deploy step only once?
",<github><continuous-integration><travis-ci><continuous-deployment><continuous-delivery>,5,"github,continuous-integration,travis-ci,continuous-deployment,continuous-delivery",['how to execute travis ci beforedeploy step only once for multideploy configuration'],"['in my project i has configured travis ci build process which releases new versions of artifact to github releases', 'my travisyml file language java jdk oraclejdk8 branches only master beforeinstall mvn package beforedeploy export travistag1travisbuildnumber echo travistag traviscommit git config local username username git config local useremail useremail git tag travistag traviscommit deploy provider releases tagname travistag targetcommitish traviscommit name travistag overwrite true skipcleanup true apikey githubtoken fileglob true file targetmyartifacttravistagjar on branch master notifications email onsuccess never onfailure always i wanted to add ability to deploy artifact to heroku and for that i added second item to deploy step this one provider heroku apikey herokuapikey on branch master with these changes the final version of travis ci config language java jdk oraclejdk8 branches only master beforeinstall mvn package beforedeploy export travistag1travisbuildnumber echo travistag traviscommit git config local username username git config local useremail useremail git tag travistag traviscommit deploy provider releases tagname travistag targetcommitish traviscommit name travistag overwrite true skipcleanup true apikey githubtoken fileglob true file targetmyartifacttravistagjar on branch master provider heroku apikey herokuapikey on branch master notifications email onsuccess never onfailure always but builds with such configuration are failing with message fatal tag already exists the command git tag travistag traviscommit failed and exited with 128 during your build has been stopped', 'as result i see that new version of artifact was released to github releases but deployment to heroku was failed', 'i investigated the issue and it looks like travis ci pipeline try to execute step beforedeploy before each deploy and when it try to execute it for deployment to heroku it fail due to git tag with such name was already created in beforedeploy step for deploy to github releases', 'how can i fix the issue and configure travis ci to execute beforedeploy step only once']"
Python Scikit-learn Perceptron Output Probabilities,"I'm using scikit-learn's Perceptron algorithm to do binary classification. When using some of the other algorithms in the library (RandomForestClassifer, LogisticRegression, etc.), I can use model.predict_proba() to have the algorithm output the probability of getting a positive (1) for each example. Is there a way to get a similar output for the Perceptron algorithm? 
The closest I've been able to come is model.decision_function(), which outputs a confidence score for the example based on the signed distance to the hyperplane, but I'm not sure how to convert these confidence scores to the probability figures I want. 
model.predict() is also only returning binary values. 
",<python><scikit-learn><neural-network><classification><perceptron>,5,"python,scikit-learn,neural-network,classification,perceptron",['python scikitlearn perceptron output probabilities'],"['im using scikitlearns perceptron algorithm to do binary classification', 'when using some of the other algorithms in the library randomforestclassifer logisticregression etc', ' i can use modelpredictproba to have the algorithm output the probability of getting a positive 1 for each example', 'is there a way to get a similar output for the perceptron algorithm', 'the closest ive been able to come is modeldecisionfunction which outputs a confidence score for the example based on the signed distance to the hyperplane but im not sure how to convert these confidence scores to the probability figures i want', 'modelpredict is also only returning binary values']"
How can I serve robots.txt on an SPA using React with Firebase hosting?,"I have an SPA built using create-react-app and wish to have a robots.txt like this:
http://example.com/robots.txt

I see on this page that:

You need to make sure your server is configured to catch any URL after it's configured to serve from a directory.

But for firebase hosting, I'm not sure what to do.
",<reactjs><firebase><single-page-application><robots.txt><create-react-app>,17,"reactjs,firebase,single-page-application,robots.txt,create-react-app",['how can i serve robotstxt on an spa using react with firebase hosting'],"['i have an spa built using createreactapp and wish to have a robotstxt like this i see on this page that you need to make sure your server is configured to catch any url after its configured to serve from a directory', 'but for firebase hosting im not sure what to do']"
Bootstrap-3: Input Group-Addon STRETCHES with jQuery Validation messages,"I'm using Twitter Bootstrap 3 with jQuery Validate plugin, but for some reason when the validation error message pops up it STRETCHES my Input Group-Addon box and the icon.
NORMAL [NO VALIDATION]

WITH VALIDATION

Here's my Fiddle in case you want to solve the problem: My Fiddle

I've tried multiple solutions on the web such as 
GitHub Issue of Input Addon and Input Addon issue on Stack
  Overflow
But I can't seem to fix the problem, no matter what I try. 

Please let me know what do I have to do to prevent the INPUT GROUP-ADDON from stretching when the validation errors appear. Thank you!
My main code is provided below:
jQuery
$('.login-form').validate ({
        // validation rules for registration form
    errorClass: ""error-class"",
    validClass: ""valid-class"",  
    onError : function(){
        $('.input-group.error-class').find('.help-block.form-error').each(function() {
          $(this).closest('.form-group').addClass('error-class').append($(this));
        });
    },

        rules: {
            username: {
                required: true,
                minlength: 3,
                maxlength: 40
            },

          password: {
                required: true,
                minlength: 7,
                maxlength: 20
            }
            },

        messages: {
            username: {
                required: ""Please enter your username or email address"",
                minlength: ""Usernames can't be shorter than three characters"",
                maxlength: ""Usernames or emails must be shorter than forty characters.""
            },
                       password: {
                required: ""Please enter your password"",
                minlength: ""Passwords can't be shorter than seven characters"",
                maxlength: ""Passwords must be shorter than forty characters.""
            },

                highlight: function(element, errorClass) {
        $(element).removeClass(errorClass);
    }    
        },

  submitHandler: function() {  
            $('#noenter').show();   

        }  
    });

HTML
<!-- Modal -->
<div class=""modal fade"" id=""myModal"" tabindex=""-1"" role=""dialog"" aria-labelledby=""myModalLabel"">
  <form class=""login-form"" action=""login"" method=""post"" action=""../PHP/ValidateForm.php"">
    <div class=""modal-dialog"" role=""document"">
      <div class=""modal-content"">
        <div class=""modal-header"">
          <button type=""button"" class=""close"" data-dismiss=""modal"" aria-label=""Close""><span aria-hidden=""true"">&times;</span></button>
          <h4 class=""modal-title"" style=""color:red;"" id=""myModalLabel"">TITLE</h4>
        </div>
        <div class=""modal-body"">
          <!-- Text input-->
          <div class=""form-group"">

            <div class=""input-group"">
              <span class=""input-group-addon""><i class=""fa fa-2x fa-user""></i></span>
              <input required id=""username"" name=""username"" placeholder=""Username or Email"" class=""inputfield form-control"" type=""text"">


            </div>
          </div>

          <!-- Text input-->
          <div class=""form-group"">

            <div class=""input-group"">
              <span class=""input-group-addon""><i class=""fa fa-2x fa-lock""></i></span>
              <input required id=""password"" name=""password"" placeholder=""Password"" class=""form-control"" type=""password"">


            </div>
          </div>
          <div class=""error"">

          </div>
          <input title=""Log In"" name=""submit"" value=""Log In"" type=""submit"" class=""loginbtn btn btn-lg btn-block"">
        </div>

        <p class=""text-muted""><strong>Need an account? <a href=""#"">Join </a></strong>

        </p>


      </div>
    </div>
  </form>
</div>

CSS
.form-control {
  color: #000 !important;
}

form label.error-class {
  font: 15px Tahoma, sans-serif;
  color: #ED7476;
  margin-left: 5px;
  position: relative;
}

form input.error-class,
form input.error-class:hover,
form input.error:focus,
form select.error-class,
form textarea.error-class {
  background: #FFEDED;
}

.error-class {
  color: red;
  z-index: 0;
  position: relative;
  display: inline-block;
}

.valid-class {
  color: black;
}

",<jquery><css><twitter-bootstrap-3><jquery-plugins><jquery-validate>,5,"jquery,css,twitter-bootstrap-3,jquery-plugins,jquery-validate",['bootstrap3 input groupaddon stretches with jquery validation messages'],"['im using twitter bootstrap 3 with jquery validate plugin but for some reason when the validation error message pops up it stretches my input groupaddon box and the icon', 'normal no validation with validation heres my fiddle in case you want to solve the problem my fiddle ive tried multiple solutions on the web such as github issue of input addon and input addon issue on stack overflow but i cant seem to fix the problem no matter what i try', 'please let me know what do i have to do to prevent the input groupaddon from stretching when the validation errors appear', 'thank you', 'my main code is provided below jquery loginformvalidate validation rules for registration form errorclass errorclass validclass validclass onerror function inputgrouperrorclassfindhelpblockformerroreachfunction thisclosestformgroupaddclasserrorclassappendthis rules username required true minlength 3 maxlength 40 password required true minlength 7 maxlength 20 messages username required please enter your username or email address minlength usernames cant be shorter than three characters maxlength usernames or emails must be shorter than forty characters', ' password required please enter your password minlength passwords cant be shorter than seven characters maxlength passwords must be shorter than forty characters', ' highlight functionelement errorclass elementremoveclasserrorclass submithandler function noentershow html modal div classmodal fade idmymodal tabindex1 roledialog arialabelledbymymodallabel form classloginform actionlogin methodpost actionphpvalidateformphp div classmodaldialog roledocument div classmodalcontent div classmodalheader button typebutton classclose datadismissmodal arialabelclosespan ariahiddentruetimesspanbutton h4 classmodaltitle stylecolorred idmymodallabeltitleh4 div div classmodalbody text input div classformgroup div classinputgroup span classinputgroupaddoni classfa fa2x fauserispan input required idusername nameusername placeholderusername or email classinputfield formcontrol typetext div div text input div classformgroup div classinputgroup span classinputgroupaddoni classfa fa2x falockispan input required idpassword namepassword placeholderpassword classformcontrol typepassword div div div classerror div input titlelog in namesubmit valuelog in typesubmit classloginbtn btn btnlg btnblock div p classtextmutedstrongneed an account', 'a hrefjoin astrong p div div form div css formcontrol color 000 important form labelerrorclass font 15px tahoma sansserif color ed7476 marginleft 5px position relative form inputerrorclass form inputerrorclasshover form inputerrorfocus form selecterrorclass form textareaerrorclass background ffeded errorclass color red zindex 0 position relative display inlineblock validclass color black ']"
