title,body,tags,score
Problems while traversing and extracting the nodes of a tree?,"<p>I have the following trees (<a href=""https://pasteboard.co/IqIwzx.png"" rel=""nofollow noreferrer"">tree_1</a>, <a href=""https://pasteboard.co/IqIwGb.png"" rel=""nofollow noreferrer"">tree_2</a>, <a href=""https://pasteboard.co/IqIxcj.png"" rel=""nofollow noreferrer"">tree_3</a>) stored in a dictionary (<a href=""https://paste.ubuntu.com/p/PPj9fFcRq/"" rel=""nofollow noreferrer"">dict_1</a>, <a href=""https://paste.ubuntu.com/p/pGnSZXnC3/"" rel=""nofollow noreferrer"">dict_2</a>, <a href=""https://paste.ubuntu.com/p/2hr7bq2jc/"" rel=""nofollow noreferrer"">dict_3</a>). <strong>How can I recursively traverse all the paths of the tree, collecting all the nodes from the root to the last node of each branch?</strong></p>

<p>In other words, I would like to generate a list of all the possible sequences of nodes for all the branches of the trees (dicts). For example some possible branches for <a href=""https://paste.ubuntu.com/p/PPj9fFcRq/"" rel=""nofollow noreferrer"">dict_1</a> (<a href=""https://pasteboard.co/IqIwzx.png"" rel=""nofollow noreferrer"">tree_1</a>)are:</p>

<pre><code>[[""FunctionDef"", ""try"", ""ExceptHandler"", ""Expr"", ""Call"", ""Attribute"",""Load""],
[""FunctionDef"", ""try"", ""ExceptHandler"", ""Expr"", ""Call"", ""Attribute"",""save_dictionary""],
[""FunctionDef"", ""try"", ""ExceptHandler"", ""Expr"", ""Call"", ""Attribute"",""Name"", ""self""],
..., 
[""FunctionDef"", ""arguments"", ""arg"", ""self""]]
</code></pre>

<p>So far, from a previous question I tried to:</p>

<pre><code>def foo(nested_dict, c = []):
   for i in ['left', 'op', 'right', 'func', 'value', 'args', 'ctx',
             'body', 'comparators', 'ops', 'test', 'orelse', 'targets', 'slice', 'n', 'id', '_type']:
      if i in nested_dict:
        if isinstance(nested_dict[i], list):
            for b in nested_dict[i]:
                yield from foo(b, c+[nested_dict['_type']])
        elif isinstance(nested_dict[i], dict): #simple check here
            yield from foo(nested_dict[i], c+[nested_dict['_type']])
        else:
            yield c+[nested_dict[i]]
</code></pre>

<p>and</p>

<pre><code>def foo_2(nested_dict, c = []):
  targets = {'left', 'op', 'right', 'func', 'value', 'args', 'ctx', 'body',
             'comparators', 'ops', 'test', 'orelse', 'targets', 'slice', 'n',
             'id', 'slice', 'annotation', 'arg', 'elts', 's', '_type'}
  for a, b in nested_dict.items():
     if a in targets:
        if isinstance(b, dict):
           yield from foo_2(b, c+[a])
        elif isinstance(b, list):
           for i in b:
              yield from foo_2(i, c+[a])
        else:
            yield c+[b]
</code></pre>

<p>However, both of them don't work because I am getting the wrong sequences. I tried to modify the targets because I thought that this issue was related to the fact that a target can not be reached out. Nevertheless, I am getting either incomplete or incorrect paths, and in general it is still not working, any idea of how to generate one list per path given a tree?</p>

<p>Here's a minimal example, given this tree:</p>

<pre><code>{'_type': 'Expr',
 'col_offset': 0,
 'lineno': 1,
 'value': {'_type': 'Call',
  'args': [{'_type': 'BinOp',
    'col_offset': 6,
    'left': {'_type': 'Num', 'col_offset': 6, 'lineno': 1, 'n': 1},
    'lineno': 1,
    'op': {'_type': 'Add'},
    'right': {'_type': 'Num', 'col_offset': 8, 'lineno': 1, 'n': 2}}],
  'col_offset': 0,
  'func': {'_type': 'Name',
   'col_offset': 0,
   'ctx': {'_type': 'Load'},
   'id': 'print',
   'lineno': 1},
  'keywords': [],
  'lineno': 1}}
</code></pre>

<p>The output should be:</p>

<pre><code>[[""Expr"", ""Call"", ""Name"", ""print""],
[""Expr"", ""Call"", ""Name"", ""Load""],
[""Expr"", ""Call"", ""Binop"", ""Num"", ""1""],
[""Expr"", ""Call"", ""Binop"", ""add""],
[""Expr"", ""Call"", ""Binop"", ""Num"", ""2""]]
</code></pre>
",<python><python-3.x><dictionary><recursion><data-structures>,5
OpenCV shape matching between two similar shapes,"<p>I'm trying to match a slightly irregular shape to a database of shapes. For example, here the contour I'm trying to match:</p>

<p><a href=""https://i.stack.imgur.com/JBd7t.png"" rel=""noreferrer""><img src=""https://i.stack.imgur.com/JBd7t.png"" alt=""enter image description here""></a></p>

<p>For more information, this is an outline of an HDMI connector, represented as a contour. It is slightly rough as this was taken with a phone while holding the HDMI.</p>

<p>This is my database of connectors:</p>

<p>HDMI: <a href=""https://i.stack.imgur.com/rNyDr.png"" rel=""noreferrer""><img src=""https://i.stack.imgur.com/rNyDr.png"" alt=""enter image description here""></a></p>

<p>DVI: <a href=""https://i.stack.imgur.com/b03sA.png"" rel=""noreferrer""><img src=""https://i.stack.imgur.com/b03sA.png"" alt=""enter image description here""></a></p>

<p>5PinDIN: <a href=""https://i.stack.imgur.com/yIzfl.png"" rel=""noreferrer""><img src=""https://i.stack.imgur.com/yIzfl.png"" alt=""enter image description here""></a></p>

<p>DB25: <a href=""https://i.stack.imgur.com/hAHHW.png"" rel=""noreferrer""><img src=""https://i.stack.imgur.com/hAHHW.png"" alt=""enter image description here""></a></p>

<p>These are a lot clearer as these are contours gathered from connector images from the internet.</p>

<p>For what I have tried:</p>

<p>cv2.matchShapes()</p>

<p>Since these are all just contours, I tried directly comparing them using the matchShapes() method, and it failed to produce good results. The similarities between the irregular contour, and my database was:</p>

<p>HDMI: 0.90</p>

<p>DB25: 0.84</p>

<p>5 Pin DIN: 0.5</p>

<p>DVI: 0.21</p>

<p>Since contours are more similar the closer to 0 the match result is, the algorithm completely failed. I tried the other methods of matching by changing the third parameter and was still unsuccessful.</p>

<p>ORB:</p>

<p>Being similar to SIFT, I tried keypoint matching. Averaging the distance between the different matches in my database (after finding the top 15% of matches):</p>

<pre><code>mean([m.distance for m in matches])
</code></pre>

<p>The distances came up as:</p>

<p>Five Pin DIN: 7.6</p>

<p>DB25: 11.7</p>

<p>DVI: 12.1</p>

<p>HDMI: 19.6</p>

<p>As this classified a circle as the shape most like my contour, this has failed as well.</p>

<p>Here are the matching key points from ORB of the actual HDMI slot vs my example HDMI slot for more information:
<a href=""https://i.stack.imgur.com/PMND5.png"" rel=""noreferrer""><img src=""https://i.stack.imgur.com/PMND5.png"" alt=""enter image description here""></a></p>

<p>Are there any ideas/other algorithms I should try? Or is a CNN my only choice (which I would rather avoid as I don't have the appropriate amount of data).</p>
",<python><opencv><image-processing><contour><image-recognition>,11
"one to one chat app with node.js, socket.io and redis","<p>I currently have a chat application(one to one) in node.js and socket.io. as the users in my website are increasing, i want to introduce redis in my chat app. 
Here is a small example of my current app:</p>

<pre><code>// all requires and connections
io.sockets.on('connection', function(socket) {

socket.on('message', function(msg) {
// code to get receiverssocket 
io.sockets.sockets[receiverssocket].emit('message',
{""source"": msg.sendersusername,""msg"": msg.msg});

});

});
</code></pre>

<p>Now, i am trying to find examples of how to do this with redis, but i cannot find an example of one to one chats with redis. i can only find examples in which messages are sent to all the users. Here is one of the examples i looked at</p>

<p><a href=""http://garydengblog.wordpress.com/2013/06/28/simple-chat-application-using-redis-socket-io-and-node-js/"" rel=""noreferrer"">http://garydengblog.wordpress.com/2013/06/28/simple-chat-application-using-redis-socket-io-and-node-js/</a></p>

<p>One way of i thought of doing this was to create channels for each user receiving messages, but that would result in thousands of channels. Any help on how i can do this?</p>

<p>Edit: added some code</p>

<pre><code>io.sockets.on('connection', function (client) {

sub.on(""message"", function (channel, message) {
console.log(""message received on server from publish "");
client.send(message);
});
client.on(""message"", function (msg) {
console.log(msg);
if(msg.type == ""chat""){
    pub.publish(""chatting."" + msg.tousername,msg.message);
}
else if(msg.type == ""setUsername""){
  sub.subscribe(""chatting."" + msg.user);
  sub.subscribe(""chatting.all"" );
  pub.publish(""chatting.all"",""A new user in connected:"" + msg.user);
  store.sadd(""onlineUsers"",msg.user);
}
});
client.on('disconnect', function () {
sub.quit();
pub.publish(""chatting.all"",""User is disconnected :"" + client.id);
});

});
</code></pre>
",<node.js><sockets><redis><socket.io><node-redis>,7
How do I apply OrderBy on an IQueryable using a string column name within a generic extension method?,"<pre><code>public static IQueryable&lt;TResult&gt; ApplySortFilter&lt;T, TResult&gt;(this IQueryable&lt;T&gt; query, string columnName)
  where T : EntityObject
{
  var param = Expression.Parameter(typeof(T), ""o"");
  var body = Expression.PropertyOrField(param,columnName);

  var sortExpression = Expression.Lambda(body, param);
  return query.OrderBy(sortExpression);
}
</code></pre>

<p>Because the type for OrderBy is not inferred from sortExpression I need to specify it something like this at run time:</p>

<pre><code>var sortExpression = Expression.Lambda&lt;T, TSortColumn&gt;(body, param);
</code></pre>

<p>Or</p>

<pre><code>return query.OrderBy&lt;T, TSortColumn&gt;(sortExpression);
</code></pre>

<p>I don't think this is possible however as TSortColumn can only be determined during runtime.</p>

<p>Is there a way around this?</p>
",<c#><.net><linq><entity-framework><expression-trees>,91
Is there a way to automatically generate a list of columns that need indexing?,"<p>The beauty of ORM lulled me into a soporific sleep. I've got an existing Django app with a lack of database indexes. Is there a way to automatically generate a list of columns that need indexing?</p>

<p>I was thinking maybe some middleware that logs which columns are involved in WHERE clauses? but is there anything built into MySQL that might help?</p>
",<python><mysql><database><django><django-models>,5
Self-referencing inside class definition,"<p>How do I reference class object inside class definition? Could you advice me how you would do it? Or more specifically how do you pass class object inside decorator of class method? 
Here is a simple example, I'm trying to pass second method I'm declaring to decorator of first one.</p>

<pre><code>def decorate(w):
    def _wrap(f):
        def _call(*args, **kwargs):
            return w(f(*args, **kwargs))
        def _call
    return _wrap

class A():

    @dec(A.w)
    def f():
        return 2

    def w(f):
        return fr + 5 
</code></pre>

<p>As expected exception is raised</p>

<pre><code>NameError: name 'A' is not defined
</code></pre>

<p>As a result of my investigation i learned that <code>globals()</code> doesn't contain <code>A</code> key while i'm inside <code>decorate</code> or <code>_wrap</code> functions, but defined inside <code>_call</code>. So I could probably find passed method by string name (e.g <code>@dec('A.w')</code>), but in that case it is impossible to cache method search inside <code>_wrap</code> closure.</p>

<p>So how do you fix that? :) </p>
",<python><class><decorator><python-decorators><class-members>,6
realloc(): invalid next size when reallocating to make space for strcat on char *,"<p>I am getting invalid memory error on following code:</p>

<pre><code>printf("" %s\n"",""FINE 5"");
printf(""%s LENGTH IS: %d\n"",""FINE 6"",strlen("": ""));
buffer = (char *)realloc(buffer, strlen(buffer)* sizeof(char) + (strlen("": "")+1)* sizeof(char));
printf("" %s\n"",""FINE 7"");
strcat(buffer, "": \0"");
</code></pre>

<p>Output:</p>

<blockquote>
  <p>FINE 5 <br> FINE 6 LENGTH IS: 2<br>
  <strong>* glibc detected *</strong> ./auto: realloc(): invalid next size: 0x08cd72e0 ***
  ======= Backtrace: ========= /lib/tls/i686/cmov/libc.so.6(+0x6b591)[0x6dd591]</p>
</blockquote>

<p>The point to note here is <code>Fine 7</code> is never printed. and invalid next size error on every run is at the same location.</p>

<p>Found <a href=""https://stackoverflow.com/questions/2939091/realloc-invalid-next-size"">this</a> relavent</p>
",<c><string><malloc><realloc><strcat>,17
Open tab by clicking on a stacked barchart,"<p>I'm building a stacked barchart containing retweets using R, <code>ggplot</code> and <code>plotly</code>. If a part of a barchart is clicked on, I want a new browser tab to open and show the tweet from this specific date with the indicated amount of retweets. However, when I click on one of the bars in the example below, a different link is opened, indicating that the url´s are not properly connected with the bars. How do I solve this?</p>
<p>I have never worked or even seen JavaScript before, so chances are high the answer is in there. The plot is eventually meant to appear in a Shiny application.</p>
<pre><code>library(rtweet)
library(ggplot2)
library(plotly)

# Get tweets
tweets &lt;- get_timeline(&quot;BBC&quot;, n = 10)

# Create dataframe
data &lt;- data.frame(&quot;retweet_count&quot; = tweets$retweet_count,
                   &quot;week&quot; =  c(1,1,1,2,2,3,4,5,5,6),
                   &quot;url&quot;  =  tweets$status_url)

# Create ggplot
ggplot(data = data,
           aes(x = week,
           y = retweet_count,
           label = url)) + 
  geom_bar(stat = 'sum', 
           fill = &quot;darkblue&quot;)

# Convert to plotly
p &lt;- ggplotly(
  p,
  tooltip = c(&quot;y&quot;, 'label'))

# Add URL data to plot
p$x$data[[1]]$customdata &lt;- data$url

# JS function to make a tab open when clicking on a specific bar
onRender(
  p,
  &quot;
    function(el,x){
    el.on('plotly_click', function(d) {
    var websitelink = d.points[0].customdata;
    window.open(websitelink);
    });
    }
    &quot;)
</code></pre>
",<javascript><r><ggplot2><plotly><r-plotly>,6
How to get Access to External Storage in Android 10 (Android Q)?,"<p>I just migrated my sourcecode to Androidx, since I did that my share function to share a sound is no longer working. the Logcat says:</p>

<pre><code>Failed to save file: /storage/emulated/0/appfolder/testsound.mp3 (Permission denied)
</code></pre>

<p>This is the part where it saves the sound:</p>

<pre><code>            final String fileName = soundObject.getItemName() + "".mp3"";
            File storage = Environment.getExternalStorageDirectory();
            File directory = new File(storage.getAbsolutePath() + ""/appfolder/"");
            directory.mkdirs();
            final File file = new File(directory, fileName);
            InputStream in = view.getContext().getResources().openRawResource(soundObject.getItemID());

            try{
                Log.i(LOG_TAG, ""Saving sound "" + soundObject.getItemName());
                OutputStream out = new FileOutputStream(file);
                byte[] buffer = new byte[1024];

                int len;
                while ((len = in.read(buffer, 0, buffer.length)) != -1){
                    out.write(buffer, 0 , len);
                }
                in.close();
                out.close();

            } catch (IOException e){

                Log.e(LOG_TAG, ""Failed to save file: "" + e.getMessage());
            }
</code></pre>

<p>And this is the code where it shares the sound:</p>

<pre><code>try{
                            if (Build.VERSION.SDK_INT &gt;= Build.VERSION_CODES.LOLLIPOP_MR1){


                                if (ActivityCompat.checkSelfPermission(view.getContext(), Manifest.permission.WRITE_EXTERNAL_STORAGE) != PackageManager.PERMISSION_GRANTED){
                                    ActivityCompat.requestPermissions((Activity) view.getContext(), new String[]{Manifest.permission.WRITE_EXTERNAL_STORAGE}, 1);

                                }else {
                                    final String AUTHORITY = view.getContext().getPackageName() + "".fileprovider"";
                                    Uri contentUri = FileProvider.getUriForFile(view.getContext(), AUTHORITY, file);
                                    final Intent intent = new Intent(Intent.ACTION_SEND);
                                    intent.putExtra(Intent.EXTRA_STREAM, contentUri);
                                    intent.setType(""audio/mp3"");
                                    view.getContext().startActivity(Intent.createChooser(intent, ""Share sound via...""));
                                }


                            }
                            else {
                                final Intent intent = new Intent(Intent.ACTION_SEND);
                                Uri fileUri = Uri.parse(file.getAbsolutePath());
                                intent.putExtra(Intent.EXTRA_STREAM, fileUri);
                                intent.setType(""audio/mp3"");
                                view.getContext().startActivity(Intent.createChooser(intent, ""Share sound via...""));
                            }

                        } catch (Exception e){
                            Log.e(LOG_TAG, ""Failed to share sound: "" + e.getMessage());
                        }
                    }
</code></pre>

<p>What do I have to change and how can I archieve that everyone no matter which Android Version he is using (minSdkVersion 16) can download and share the sound?</p>

<p>Sadly I'm getting many bad reviews atm because no one can share (Not even Android 9 and below eventhough they used to be able to)
Thank you</p>
",<java><android><permissions><share><manifest>,11
Generating cryptographically secure authentication tokens,"<p><strong>Background:</strong></p>

<p>This is really a general best-practices question, but some background about the specific situation might be helpful:</p>

<p>We are developing a ""connected"" application for the iPhone.  It will communicate with the backend application via REST services.  In order to not have to prompt the user for a username and password every time they launch the application, we will expose a ""Login"" service that validates their username and password on initial launch and returns an authentication token that can be used for future web service requests for real data.  The token may have an expiration time after which we'll ask them to re-authenticate with their username/password.</p>

<p><strong>The Question:</strong></p>

<p>What are the best practices for generating this sort of token to be used for authentication?</p>

<p>For example, we could...</p>

<ul>
<li>Hash (SHA-256, etc) a random string and store it in the database for the given user along with an expiration date.  Do a simple lookup of the token on subsequent requests to make sure it matches.</li>
<li>Encrypte the user id and some additional information (timestamp, etc) with a secret key.  Decrypt the token on subsequent requests to make sure it was issued by us.</li>
</ul>

<p>This feels like it must be a solved problem.</p>
",<c#><iphone><wcf><web-services><security>,60
