title_lemmatized,body_lemmatized,tags_transformed
['problems while traversing and extracting the nodes of a tree'],"['i have the following trees tree1 tree2 tree3 stored in a dictionary dict1 dict2 dict3', 'how can i recursively traverse all the paths of the tree collecting all the nodes from the root to the last node of each branch', 'in other words i would like to generate a list of all the possible sequences of nodes for all the branches of the trees dicts', 'for example some possible branches for dict1 tree1are functiondef try excepthandler expr call attributeload functiondef try excepthandler expr call attributesavedictionary functiondef try excepthandler expr call attributename self functiondef arguments arg self so far from a previous question i tried to def foonesteddict c for i in left op right func value args ctx body comparators ops test orelse targets slice n id type if i in nesteddict if isinstancenesteddicti list for b in nesteddicti yield from foob cnesteddicttype elif isinstancenesteddicti dict simple check here yield from foonesteddicti cnesteddicttype else yield cnesteddicti and def foo2nesteddict c targets left op right func value args ctx body comparators ops test orelse targets slice n id slice annotation arg elts s type for a b in nesteddictitems if a in targets if isinstanceb dict yield from foo2b ca elif isinstanceb list for i in b yield from foo2i ca else yield cb however both of them dont work because i am getting the wrong sequences', 'i tried to modify the targets because i thought that this issue was related to the fact that a target can not be reached out', 'nevertheless i am getting either incomplete or incorrect paths and in general it is still not working any idea of how to generate one list per path given a tree', 'heres a minimal example given this tree type expr coloffset 0 lineno 1 value type call args type binop coloffset 6 left type num coloffset 6 lineno 1 n 1 lineno 1 op type add right type num coloffset 8 lineno 1 n 2 coloffset 0 func type name coloffset 0 ctx type load id print lineno 1 keywords lineno 1 the output should be expr call name print expr call name load expr call binop num 1 expr call binop add expr call binop num 2']","python,python-3.x,dictionary,recursion,data-structures"
['opencv shape matching between two similar shapes'],"['im trying to match a slightly irregular shape to a database of shapes', 'for example here the contour im trying to match for more information this is an outline of an hdmi connector represented as a contour', 'it is slightly rough as this was taken with a phone while holding the hdmi', 'this is my database of connectors hdmi dvi 5pindin db25 these are a lot clearer as these are contours gathered from connector images from the internet', 'for what i have tried cv2matchshapes since these are all just contours i tried directly comparing them using the matchshapes method and it failed to produce good results', 'the similarities between the irregular contour and my database was hdmi 090 db25 084 5 pin din 05 dvi 021 since contours are more similar the closer to 0 the match result is the algorithm completely failed', 'i tried the other methods of matching by changing the third parameter and was still unsuccessful', 'orb being similar to sift i tried keypoint matching', 'averaging the distance between the different matches in my database after finding the top 15 of matches meanmdistance for m in matches the distances came up as five pin din 76 db25 117 dvi 121 hdmi 196 as this classified a circle as the shape most like my contour this has failed as well', 'here are the matching key points from orb of the actual hdmi slot vs my example hdmi slot for more information are there any ideasother algorithms i should try', 'or is a cnn my only choice which i would rather avoid as i dont have the appropriate amount of data']","python,opencv,image-processing,contour,image-recognition"
['one to one chat app with nodejs socketio and redis'],"['i currently have a chat applicationone to one in nodejs and socketio', 'as the users in my website are increasing i want to introduce redis in my chat app', 'here is a small example of my current app all requires and connections iosocketsonconnection functionsocket socketonmessage functionmsg code to get receiverssocket iosocketssocketsreceiverssocketemitmessage source msgsendersusernamemsg msgmsg now i am trying to find examples of how to do this with redis but i cannot find an example of one to one chats with redis', 'i can only find examples in which messages are sent to all the users', 'here is one of the examples i looked at one way of i thought of doing this was to create channels for each user receiving messages but that would result in thousands of channels', 'any help on how i can do this', 'edit added some code iosocketsonconnection function client subonmessage function channel message consolelogmessage received on server from publish clientsendmessage clientonmessage function msg consolelogmsg ifmsgtype chat pubpublishchatting', ' msgtousernamemsgmessage else ifmsgtype setusername subsubscribechatting', ' msguser subsubscribechattingall pubpublishchattingalla new user in connected msguser storesaddonlineusersmsguser clientondisconnect function subquit pubpublishchattingalluser is disconnected clientid ']","node.js,sockets,redis,socket.io,node-redis"
['how do i apply orderby on an iqueryable using a string column name within a generic extension method'],"['public static iqueryabletresult applysortfiltert tresultthis iqueryablet query string columnname where t entityobject var param expressionparametertypeoft o var body expressionpropertyorfieldparamcolumnname var sortexpression expressionlambdabody param return queryorderbysortexpression because the type for orderby is not inferred from sortexpression i need to specify it something like this at run time var sortexpression expressionlambdat tsortcolumnbody param or return queryorderbyt tsortcolumnsortexpression i dont think this is possible however as tsortcolumn can only be determined during runtime', 'is there a way around this']","c#,.net,linq,entity-framework,expression-trees"
['is there a way to automatically generate a list of columns that need indexing'],"['the beauty of orm lulled me into a soporific sleep', 'ive got an existing django app with a lack of database indexes', 'is there a way to automatically generate a list of columns that need indexing', 'i was thinking maybe some middleware that logs which columns are involved in where clauses', 'but is there anything built into mysql that might help']","python,mysql,database,django,django-models"
['selfreferencing inside class definition'],"['how do i reference class object inside class definition', 'could you advice me how you would do it', 'or more specifically how do you pass class object inside decorator of class method', 'here is a simple example im trying to pass second method im declaring to decorator of first one', 'def decoratew def wrapf def callargs kwargs return wfargs kwargs def call return wrap class a decaw def f return 2 def wf return fr 5 as expected exception is raised nameerror name a is not defined as a result of my investigation i learned that globals doesnt contain a key while im inside decorate or wrap functions but defined inside call', 'so i could probably find passed method by string name eg decaw but in that case it is impossible to cache method search inside wrap closure', 'so how do you fix that', '']","python,class,decorator,python-decorators,class-members"
['realloc invalid next size when reallocating to make space for strcat on char '],"['i am getting invalid memory error on following code printf snfine 5 printfs length is dnfine 6strlen buffer char reallocbuffer strlenbuffer sizeofchar strlen 1 sizeofchar printf snfine 7 strcatbuffer 0 output fine 5 fine 6 length is 2 glibc detected auto realloc invalid next size 0x08cd72e0 backtrace libtlsi686cmovlibcso60x6b5910x6dd591 the point to note here is fine 7 is never printed', 'and invalid next size error on every run is at the same location', 'found this relavent']","c,string,malloc,realloc,strcat"
['open tab by clicking on a stacked barchart'],"['im building a stacked barchart containing retweets using r ggplot and plotly', 'if a part of a barchart is clicked on i want a new browser tab to open and show the tweet from this specific date with the indicated amount of retweets', 'however when i click on one of the bars in the example below a different link is opened indicating that the urls are not properly connected with the bars', 'how do i solve this', 'i have never worked or even seen javascript before so chances are high the answer is in there', 'the plot is eventually meant to appear in a shiny application', 'libraryrtweet libraryggplot2 libraryplotly get tweets tweets gettimelinebbc n 10 create dataframe data dataframeretweetcount tweetsretweetcount week c1112234556 url tweetsstatusurl create ggplot ggplotdata data aesx week y retweetcount label url geombarstat sum fill darkblue convert to plotly p ggplotly p tooltip cy label add url data to plot pxdata1customdata dataurl js function to make a tab open when clicking on a specific bar onrender p functionelx elonplotlyclick functiond var websitelink dpoints0customdata windowopenwebsitelink ']","javascript,r,ggplot2,plotly,r-plotly"
['how to get access to external storage in android 10 android q'],"['i just migrated my sourcecode to androidx since i did that my share function to share a sound is no longer working', 'the logcat says failed to save file storageemulated0appfoldertestsoundmp3 permission denied this is the part where it saves the sound final string filename soundobjectgetitemname mp3 file storage environmentgetexternalstoragedirectory file directory new filestoragegetabsolutepath appfolder directorymkdirs final file file new filedirectory filename inputstream in viewgetcontextgetresourcesopenrawresourcesoundobjectgetitemid try logilogtag saving sound soundobjectgetitemname outputstream out new fileoutputstreamfile byte buffer new byte1024 int len while len inreadbuffer 0 bufferlength 1 outwritebuffer 0 len inclose outclose catch ioexception e logelogtag failed to save file egetmessage and this is the code where it shares the sound try if buildversionsdkint buildversioncodeslollipopmr1 if activitycompatcheckselfpermissionviewgetcontext manifestpermissionwriteexternalstorage packagemanagerpermissiongranted activitycompatrequestpermissionsactivity viewgetcontext new stringmanifestpermissionwriteexternalstorage 1 else final string authority viewgetcontextgetpackagename fileprovider uri contenturi fileprovidergeturiforfileviewgetcontext authority file final intent intent new intentintentactionsend intentputextraintentextrastream contenturi intentsettypeaudiomp3 viewgetcontextstartactivityintentcreatechooserintent share sound via else final intent intent new intentintentactionsend uri fileuri uriparsefilegetabsolutepath intentputextraintentextrastream fileuri intentsettypeaudiomp3 viewgetcontextstartactivityintentcreatechooserintent share sound via catch exception e logelogtag failed to share sound egetmessage what do i have to change and how can i archieve that everyone no matter which android version he is using minsdkversion 16 can download and share the sound', 'sadly im getting many bad reviews atm because no one can share not even android 9 and below eventhough they used to be able to thank you']","java,android,permissions,share,manifest"
['generating cryptographically secure authentication tokens'],"['background this is really a general bestpractices question but some background about the specific situation might be helpful we are developing a connected application for the iphone', 'it will communicate with the backend application via rest services', 'in order to not have to prompt the user for a username and password every time they launch the application we will expose a login service that validates their username and password on initial launch and returns an authentication token that can be used for future web service requests for real data', 'the token may have an expiration time after which well ask them to reauthenticate with their usernamepassword', 'the question what are the best practices for generating this sort of token to be used for authentication', 'for example we could hash sha256 etc a random string and store it in the database for the given user along with an expiration date', 'do a simple lookup of the token on subsequent requests to make sure it matches', 'encrypte the user id and some additional information timestamp etc with a secret key', 'decrypt the token on subsequent requests to make sure it was issued by us', 'this feels like it must be a solved problem']","c#,iphone,wcf,web-services,security"
['authenticating with facebook using passport not working'],"['im trying to do facebook authentication with my application', 'but so far my attempts are unsuccessful', 'im completely new to node', 'when a user clicks that fb login button the request need to be taken to authfacebook route where they will be passed to the passport strategy', 'there they will be sent to facebook for authentication', 'but it never happens', 'the facebook authentication windows never get showed', 'it seems like redirection not working', 'i did a few hours of searching but didnt get a solution', 'following is the parts of the code which i think important to this context i had put my app id and app secret in configauthjs moduleexports facebookauth clientid myappidhere clientsecret myappsecrethere callbackurl the strategy to authenticate with facebook and handle the callback goes in configpassportjs var localstrategy requirepassportlocalstrategy var facebookstrategy requirepassportfacebookstrategy load up the user model and auth variables var user requireappmodelsuser var configauth requireauth moduleexports functionpassport passportserializeuserfunctionuser done donenull userid passportdeserializeuserfunctionid done userfindbyidid functionerr user doneerr user facebook strategy passportusenew facebookstrategy pull app id and secret from our authjs file clientid configauthfacebookauthclientid clientsecret configauthfacebookauthclientsecret callbackurl configauthfacebookauthcallbackurl facebook will send back the token and profile functiontoken refreshtoken profile done processnexttickfunction find the user in the database based on their facebook id userfindone facebookid profileid functionerr user if err return doneerr if the user is found then log them in if user return donenull user else if there is no user found with that facebook id create them var newuser new user set all of the facebook information in our user model newuserfacebookid profileid set the users facebook id newuserfacebooktoken token we will save the token that facebook provides to the user newuserfacebookname profilenamegivenname profilenamefamilyname look at the passport user profile to see how names are returned newuserfacebookemail profileemails0value facebook can return multiple emails so well take the first save our user to the database newusersavefunctionerr if err throw err if successful return the new user return donenull newuser the relevant routes from approutesjs moduleexports functionapp passport route for facebook authentication and login appgetauthfacebook passportauthenticatefacebook scope email handle the callback after facebook has authenticated the user appgetauthfacebookcallback passportauthenticatefacebook successredirect profile failureredirect route for logging out appgetlogout functionreq res reqlogout resredirect the the login button code in view a hrefauthfacebook classbtn btnprimaryspan classfa fafacebookspan facebooka']","node.js,facebook,authentication,express,passport.js"
['where does the t u v convention for generic type params come from'],"['java c and typescript aka', 'the sunhejlsberg family of languages use t u v etc', 'to represent generic type parameters', 'ostensibly thats because t stands for type and u and v follow t in the alphabet', 'on the other hand scala uses a b c and so on and ocaml and haskell use a b and c where do these conventions come from', 'is it because the functional languages are closer to math proofs where and are used by convention', 'similar but doesnt answer my question where does the c generics naming convention come from']","java,c#,scala,generics,programming-languages"
['rubyruby on rails memory leak detection'],"['i wrote a small web app using ruby on rails its main purpose is to upload store and display results from xmlfiles can be up to several mb files', 'after running for about 2 months i noticed that the mongrel process was using about 4gb of memory', 'i did some research on debugging ruby memory leaks and could not find much', 'so i have two questions', 'are there any good tools that can be used to find memory leaks in rubyrails', 'what type of coding patterns cause memory leaks in ruby']","ruby-on-rails,ruby,memory,memory-leaks,coding-style"
['showing two different fibonacci functions are equivalent'],"['im trying to learn exactly what it means to prove a program correct', 'im starting from scratch and getting hung up on the first stepsthe introduction to the topic', 'in this paper on total functional programming two definitions of the fibonacci function are given', 'the traditional one fib 0 0 fib 1 1 fib n fib n1 fib n2 fib n2 fib n1 fib n2 the definition as given in the paper it seems incorrect to me', 'typo', 'and a tail recursive version i had never seen before fib n f n 0 1 f 0 a b a f n a b f n1 b ab the paper then claimed that it is straightforward to prove by induction that both functions return the same result for all positive integers n this is the first time ive thought of analysing programs like this', 'its quite interesting to think that you can prove that two programs are equivilent so i immediately tried to do this proof by induction myself', 'either my maths skills are rusty or the task is not actually all that straightforward', 'i proved for n 1 fib 1 f 1 0 1 f 0 1 1 1 fib 1 1 by definition therefore fib n fib n for n 1 i made the n k assumption fib k fib k f k 0 1 fib k i start trying to prove that if the assumption holds true then the functions are also equivilant for n k 1 and hence they are all equivalent for all n 1 qed fib k1 fib k1 f k1 0 1 fib k fib k1 ive tried various manipulations substituting the assumption in at the right time and so on but i just cant get lhs to equal rhs and therefore prove that the functionsprograms are equivalent', 'what am i missing', 'the paper mentions that the task is equivalent to proving f n fib p fib p1 fib pn by induction for arbitrary p but i dont see how thats true at all', 'how did the authors arrive at this equation', 'thats a valid transformation on the equation only if p 0 i dont see how that means it works for arbitrary p to prove it for arbitrary p requires you to go through another layer of induction', 'surely the correct formula to prove would be fib np fib np f np 0 1 fib np so far that hasnt helped either', 'can anyone show me how the induction would be done', 'or link to a page that shows the proof i did search couldnt find anything']","haskell,functional-programming,fibonacci,correctness,induction"
['activerecord appends and 10 to end of queries'],"['ive been playing around in the rails console trying to get things to work and i notice that one of my queries keeps returning nil when it shouldnt', 'upon looking at the generated sql query i notice that it has and 10 appended to it each time', 'this is kind of annoying and im not sure why its doing this', 'note using the actable gem', 'steps to reproduce after connecting to tables in rails console 212 xxxx parent parenttake parent load 381ms select parents', ' from parents limit 1 parent id 37 212 xxxx child childwhereid parentactableid sql 07ms select childsid as t0r0 childsattribute as t0r1 from childs left outer join parents on parentsactableid childsid and parentsactabletype child type where childsid 20 and 10 activerecordrelation why is this happening', 'how do i make it stop']","mysql,ruby-on-rails,activerecord,ruby-on-rails-4,rails-console"
['dates with no time or timezone component in javamysql'],"['i need to be able to store a date yearmonthday with no time component', 'its an abstract concept of a date such as a birthday i need to represent a date in the year and not a particular instant in time', 'i am using java to parse the date from some input text and need to store in a mysql database', 'no matter what timezone the database application or any client is in they should all see the same yearmonthday', 'my application will run on a machine with a different system timezone from the database server and i dont have control over either', 'does anyone have an elegant solution for ensuring i store the date correctly', 'i can think of these solutions neither of which seems very nice query my mysql connection for its timezone and parse the input date in that timezone process the date entirely as a string yyyymmdd']","java,sql,date,timezone,java-time"
['using adaboost within rs caret package'],"['ive been using the ada r package for a while and more recently caret', 'according to the documentation carets train function should have an option that uses ada', 'but caret is puking at me when i use the same syntax that sits within my ada call', 'heres a demonstration using the wine sample data set', 'librarydosnow registerdosnowmakecluster2 type sock librarycaret libraryada wine readcsv setseed1234 so that the indices will be the same when rerun trainindices createdatapartitionwinegood p 08 list f wanted colnameswine in cfreesulfurdioxide density quality color white winetrain winetrainindices wanted winetest winetrainindices wanted cvopts traincontrolmethodcv number10 now the example that works using ada resultsada adagood datawinetrain controlrpartcontrol maxdepth30 cp0010000 minsplit20 xval10 iter500 this works and gives me a confusion matrix', 'resultsada adagood data winetrain control rpartcontrolmaxdepth 30 cp 001 minsplit 20 xval 10 iter 500 loss exponential method discrete iteration 500 final confusion matrix for data final prediction etc', 'etc', 'etc', 'etc', 'now the calls that dont work', 'resultsada traingood datawinetrain methodada controlrpartcontrolmaxdepth30 cp0010000 minsplit20 xval10 iter500 error in traindefaultx y weights w final tuning parameters could not be determined in addition warning messages 1 in nominaltrainworkflowdat traindata info traininfo method method there were missing values in resampled performance measures', '2 in traindefaultx y weights w missing values found in aggregated results this doesnt work either resultsada traingood datawinetrain methodada trcontrolcvopts maxdepth10 nu01 iter50 error in traindefaultx y weights w final tuning parameters could not be determined in addition warning messages 1 in nominaltrainworkflowdat traindata info traininfo method method there were missing values in resampled performance measures', '2 in traindefaultx y weights w missing values found in aggregated results im guessing its that train wants additional input but the warning thrown doesnt give me any hints on whats missing', 'additionally i could be missing a dependency but theres no hint on what should be there']","r,machine-learning,data-mining,classification,adaboost"
['how to convert multiple parquet files into tfrecord files using spark'],"['i would like to produce stratified tfrecord files from a large dataframe based on a certain condition for which i use writepartitionby', 'im also using the tensorflowconnector in spark but this apparently does not work together with a writepartitionby operation', 'therefore i have not found another way than to try to work in two steps repartion the dataframe according to my condition using partitionby and write the resulting partitions to parquet files', 'read those parquet files to convert them into tfrecord files with the tensorflowconnector plugin', 'it is the second step that im unable to do efficiently', 'my idea was to read in the individual parquet files on the executors and immediately write them into tfrecord files', 'but this needs access to the sqlcontext which can only be done in the driver discussed here so not in parallel', 'i would like to do something like this list all parquet files to be converted import glob os files globglobpathparquet sc sparksessionbuildergetorcreate scparallelizefiles 2foreachlambda parquetfile convertparquettotfrecordparquetfile could i construct the function convertparquettotfrecord that would be able to do this on the executors', 'ive also tried just using the wildcard when reading all the parquet files sqlcontextscreadparquetpathparquet this indeed reads all parquet files but unfortunately not into individual partitions', 'it appears that the original structure gets lost so it doesnt help me if i want the exact contents of the individual parquet files converted into tfrecord files', 'any other suggestions']","apache-spark,pyspark,apache-spark-sql,parquet,tfrecord"
['sax expatparserparseexception'],"['im making an android application that reads an xml internet', 'this application uses sax to parse xml', 'this is my code for the part of parsing public lectorsaxstring url try saxparserfactory spfsaxparserfactorynewinstance saxparser sp spfnewsaxparser defaulthandler lxmlrnew libraryxmlreader spparseurl lxmlr nodolibraryxmlreaderlxmlrgetnodoactual catchparserconfigurationexception e systemerrprintlnerror de parseo en lectorsaxjava e catchsaxexception e systemerrprintlnerror de sax lectorsaxjava e catch ioexception e systemerrprintlnerror de io lectorsaxjava e the problem is that saxexception occurs', 'the exception message is as follows orgapacheharmonyxmlexpatparserparseexception at line 4 column 42 not wellformed invalid token however if i put the same code in a normal java se application this exception does not occur and everything works fine', 'why the same code works fine in a java se application not an android', 'on the other hand how to solve the problem', 'thanks for the help', 'greeting']","java,android,xml-parsing,sax,saxparser"
['how to execute travis ci beforedeploy step only once for multideploy configuration'],"['in my project i has configured travis ci build process which releases new versions of artifact to github releases', 'my travisyml file language java jdk oraclejdk8 branches only master beforeinstall mvn package beforedeploy export travistag1travisbuildnumber echo travistag traviscommit git config local username username git config local useremail useremail git tag travistag traviscommit deploy provider releases tagname travistag targetcommitish traviscommit name travistag overwrite true skipcleanup true apikey githubtoken fileglob true file targetmyartifacttravistagjar on branch master notifications email onsuccess never onfailure always i wanted to add ability to deploy artifact to heroku and for that i added second item to deploy step this one provider heroku apikey herokuapikey on branch master with these changes the final version of travis ci config language java jdk oraclejdk8 branches only master beforeinstall mvn package beforedeploy export travistag1travisbuildnumber echo travistag traviscommit git config local username username git config local useremail useremail git tag travistag traviscommit deploy provider releases tagname travistag targetcommitish traviscommit name travistag overwrite true skipcleanup true apikey githubtoken fileglob true file targetmyartifacttravistagjar on branch master provider heroku apikey herokuapikey on branch master notifications email onsuccess never onfailure always but builds with such configuration are failing with message fatal tag already exists the command git tag travistag traviscommit failed and exited with 128 during your build has been stopped', 'as result i see that new version of artifact was released to github releases but deployment to heroku was failed', 'i investigated the issue and it looks like travis ci pipeline try to execute step beforedeploy before each deploy and when it try to execute it for deployment to heroku it fail due to git tag with such name was already created in beforedeploy step for deploy to github releases', 'how can i fix the issue and configure travis ci to execute beforedeploy step only once']","github,continuous-integration,travis-ci,continuous-deployment,continuous-delivery"
['python scikitlearn perceptron output probabilities'],"['im using scikitlearns perceptron algorithm to do binary classification', 'when using some of the other algorithms in the library randomforestclassifer logisticregression etc', ' i can use modelpredictproba to have the algorithm output the probability of getting a positive 1 for each example', 'is there a way to get a similar output for the perceptron algorithm', 'the closest ive been able to come is modeldecisionfunction which outputs a confidence score for the example based on the signed distance to the hyperplane but im not sure how to convert these confidence scores to the probability figures i want', 'modelpredict is also only returning binary values']","python,scikit-learn,neural-network,classification,perceptron"
['how can i serve robotstxt on an spa using react with firebase hosting'],"['i have an spa built using createreactapp and wish to have a robotstxt like this i see on this page that you need to make sure your server is configured to catch any url after its configured to serve from a directory', 'but for firebase hosting im not sure what to do']","reactjs,firebase,single-page-application,robots.txt,create-react-app"
